Albania,94.81,91.53,66.72,67.43,87.02,69.18,78.21,58.12,61.55,65.97,49.47,39.58
Algeria,91.00,87.04,68.57,58.38,87.15,50.63,79.65,39.56,20.97,59.91,40.94,25.79
Angola,53.94,43.05,28.09,41.59,53.22,33.12,66.60,32.56,21.84,52.26,37.22,15.67
Argentina,94.62,95.65,60.75,60.07,94.53,69.54,70.56,47.83,66.55,73.61,64.53,48.83
Armenia,92.39,94.71,62.92,63.66,93.45,64.37,59.36,59.91,41.78,57.30,39.30,51.20
Australia,98.28,99.94,84.12,87.53,96.80,83.36,81.79,59.14,97.60,90.56,78.70,75.32
Austria,98.21,100.00,88.38,91.67,96.56,94.10,79.98,74.76,87.96,83.20,66.45,60.09
Azerbaijan,91.43,68.56,77.50,67.29,93.26,63.46,68.04,49.61,28.21,55.42,39.69,46.85
Bangladesh,72.55,56.57,42.91,57.08,71.65,35.40,76.58,53.97,51.40,61.66,30.13,14.56
Belarus,97.93,94.76,74.99,68.84,96.78,61.19,56.56,54.87,15.15,61.83,49.08,50.46
Belgium,98.26,100.00,86.11,86.60,98.40,88.83,77.85,50.16,85.56,81.99,70.24,67.56
Benin,72.09,36.68,31.47,50.79,50.50,47.60,72.35,58.51,52.05,58.85,49.26,9.17
Bolivia,77.11,61.55,53.78,61.31,86.22,59.44,78.25,61.75,54.18,72.45,54.47,34.31
Bosnia and Herzegovina,97.30,92.32,72.76,75.69,90.21,68.10,63.54,32.29,46.23,61.80,37.17,42.51
Botswana,70.02,74.92,51.54,67.05,84.49,61.37,69.17,75.66,71.14,74.37,59.34,28.16
Brazil,92.02,81.64,73.20,37.50,95.43,67.69,76.05,63.94,74.94,77.32,61.77,38.09
Bulgaria,94.95,98.66,62.83,71.58,93.67,69.33,60.63,63.25,62.40,64.01,50.09,51.42
Burkina Faso,61.24,31.04,18.43,49.93,40.17,44.98,73.28,65.88,61.77,58.27,54.41,8.53
Burundi,27.58,50.39,10.96,42.43,61.30,19.63,68.59,34.70,39.38,50.10,33.18,9.73
Cambodia,76.91,35.58,28.96,48.30,70.45,48.17,77.88,71.07,43.53,63.79,40.02,17.99
Cameroon,60.52,30.84,39.15,46.03,68.37,39.94,66.06,40.56,25.43,60.37,49.80,19.01
Canada,98.10,95.76,88.64,91.58,98.00,83.23,80.78,59.21,87.96,91.14,86.79,82.21
Central African Republic,47.06,23.61,9.61,29.41,35.90,26.64,64.78,62.20,15.32,54.91,31.17,9.40
Chad,39.29,26.11,6.38,31.97,28.01,29.94,69.04,42.70,35.82,40.98,35.78,5.21
Chile,94.85,92.19,76.37,71.99,94.91,71.28,74.74,51.06,89.85,80.17,65.76,52.45
China,91.01,70.99,72.75,57.34,94.87,41.78,72.74,45.74,4.80,68.59,38.62,44.81
Colombia,90.61,72.18,76.88,38.56,89.63,61.84,79.21,72.18,58.60,75.13,51.41,40.67
Congo. Republic of,54.02,10.00,26.20,46.51,72.25,53.67,65.67,65.92,43.91,62.44,48.91,26.44
Costa Rica,95.16,91.03,78.83,65.63,93.52,78.12,81.71,68.79,82.83,82.71,71.19,43.41
Croatia,96.46,93.94,81.95,80.28,94.79,71.77,71.31,69.63,68.22,65.18,43.66,42.46
Cuba,97.04,84.37,67.62,79.38,95.92,13.25,73.84,49.42,2.40,60.71,64.63,44.19
Czech Republic,90.88,98.44,85.66,92.08,97.19,86.66,73.21,76.00,75.41,74.46,61.14,53.83
Denmark,98.53,100.00,91.81,92.56,98.41,97.83,78.84,64.19,87.96,90.76,76.64,61.02
Djibouti,67.96,55.75,54.08,61.50,52.77,16.91,63.88,31.80,31.32,60.70,46.31,8.39
Dominican Republic,85.06,83.61,61.55,32.90,86.32,61.55,74.33,63.32,44.30,72.94,56.23,34.25
Ecuador,85.27,84.65,74.81,47.18,92.32,63.12,79.89,68.54,56.58,74.47,52.23,38.78
Egypt,92.30,96.39,61.12,57.25,84.33,60.31,69.77,61.50,28.21,57.07,24.67,26.72
El Salvador,88.02,73.59,76.56,37.73,83.86,65.71,75.28,43.97,72.54,72.66,58.42,28.05
Estonia,97.61,95.04,76.84,79.02,98.18,93.48,76.38,69.50,97.60,79.46,51.48,60.74
Finland,98.74,99.83,90.66,89.29,99.25,97.21,78.60,61.63,87.96,93.10,78.74,67.89
France,98.03,100.00,86.89,79.99,99.21,82.64,80.48,55.16,80.39,84.29,62.03,64.18
Georgia,80.65,88.89,61.81,69.11,94.91,66.34,63.32,45.98,48.45,66.11,30.16,51.55
Germany,98.68,100.00,85.44,88.19,97.38,89.45,79.70,73.30,80.21,86.69,68.47,67.85
Ghana,75.78,39.10,42.19,52.50,71.35,63.11,73.92,54.13,78.37,59.76,43.71,17.57
Greece,98.36,99.04,76.74,73.83,97.77,69.60,78.65,53.37,64.80,61.44,46.13,61.44
Guatemala,78.77,82.47,65.19,39.59,76.88,57.18,78.00,59.73,65.52,70.94,45.28,16.92
Guinea,62.19,30.63,12.10,41.02,40.76,32.02,68.47,38.85,31.63,48.67,36.43,6.17
Guyana,85.01,81.32,57.78,49.84,87.96,51.38,62.95,31.14,60.50,62.41,53.83,36.64
Honduras,87.10,79.85,52.80,33.94,85.16,49.73,75.55,71.85,50.38,69.24,53.46,26.29
Hungary,97.55,98.35,70.32,78.73,96.63,74.56,65.97,50.48,73.02,69.89,56.98,53.94
Iceland,98.78,100.00,85.05,93.45,98.65,98.82,81.62,73.65,87.96,87.59,88.44,62.84
India,75.69,51.85,39.77,50.64,77.80,39.87,68.98,40.72,54.27,54.52,21.54,27.24
Indonesia,84.77,52.19,64.33,53.31,90.11,51.40,77.99,58.18,49.47,63.09,29.56,33.31
Iran,92.55,93.46,71.90,53.15,90.98,35.06,72.85,34.53,5.82,59.57,31.81,38.08
Iraq,81.39,70.23,70.16,21.52,68.19,42.32,68.18,6.74,19.29,46.59,21.34,22.17
Ireland,98.34,99.37,88.61,88.19,99.37,87.90,81.04,35.26,87.96,87.68,84.46,70.44
Israel,98.29,100.00,77.88,66.88,98.36,74.99,77.67,35.28,48.17,72.78,33.72,72.82
Italy,98.52,99.93,80.65,67.83,98.02,70.22,83.17,58.50,78.37,68.46,62.13,57.37
Jamaica,88.95,79.46,70.28,38.22,91.49,82.07,77.23,54.58,82.18,75.08,59.90,45.25
Japan,97.28,99.53,89.74,92.33,99.75,76.75,83.26,57.24,95.20,80.40,61.32,77.74
Jordan,92.02,92.46,74.97,65.79,93.82,59.36,67.84,23.60,28.16,66.42,38.32,40.26
