AÑO;NUI;Región;Trimestre;Mes;Categoría;Función;Género;Ocupados;CLASE_INDUSTRIA_II;EXPLICACIÓN_CLASE_INDUSTRIA
2006;22736;10;2;4;CONTRATO;Directivos;hombres;8;DERIVADOS DE ALGAS;
2006;22736;10;1;6;CONTRATO;Productivos_directos;hombres;48;DERIVADOS DE ALGAS;
2006;22736;10;1;9;CONTRATO;Productivos_indirectos;hombres;23;DERIVADOS DE ALGAS;
2006;22736;10;1;5;CONTRATO;Administrativos;hombres;16;DERIVADOS DE ALGAS;
2006;22736;10;1;7;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;4;SUBCONTRATO;Productivos_directos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;8;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;2;CONTRATO;Directivos;hombres;9;DERIVADOS DE ALGAS;
2006;22736;10;1;9;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;1;CONTRATO;Administrativos;hombres;16;DERIVADOS DE ALGAS;
2006;22736;10;2;6;CONTRATO;Productivos_directos;hombres;47;DERIVADOS DE ALGAS;
2006;22736;10;2;1;CONTRATO;Productivos_indirectos;hombres;25;DERIVADOS DE ALGAS;
2006;22736;10;2;9;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;5;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;12;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;6;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;3;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;8;SUBCONTRATO;Productivos_directos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;1;3;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;1;1;CONTRATO;Productivos_directos;hombres;74;DERIVADOS DE ALGAS;
2006;11199;10;1;9;CONTRATO;Productivos_indirectos;hombres;37;DERIVADOS DE ALGAS;
2006;11199;10;1;3;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;6;CONTRATO;Productivos_indirectos;hombres;37;DERIVADOS DE ALGAS;
2006;11199;10;2;1;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;11;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;5;SUBCONTRATO;Productivos_indirectos;hombres;2;DERIVADOS DE ALGAS;
2006;11199;10;1;4;CONTRATO;Directivos;hombres;4;DERIVADOS DE ALGAS;
2006;11199;10;1;7;SUBCONTRATO;Productivos_indirectos;hombres;2;DERIVADOS DE ALGAS;
2006;11199;10;1;12;CONTRATO;Administrativos;hombres;12;DERIVADOS DE ALGAS;
2006;11199;10;1;8;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;4;CONTRATO;Directivos;hombres;4;DERIVADOS DE ALGAS;
2006;11199;10;2;8;CONTRATO;Productivos_directos;hombres;74;DERIVADOS DE ALGAS;
2006;11199;10;2;3;SUBCONTRATO;Productivos_directos;hombres;3;DERIVADOS DE ALGAS;
2006;11199;10;2;5;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;8;CONTRATO;Administrativos;hombres;12;DERIVADOS DE ALGAS;
2006;11199;10;1;1;SUBCONTRATO;Productivos_directos;hombres;2;DERIVADOS DE ALGAS;
2006;16086;10;1;6;CONTRATO;Productivos_directos;hombres;5;HUMANO;
2006;16086;10;1;2;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;1;9;CONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;1;2;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;16086;10;1;12;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;1;12;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;1;11;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;2;2;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16086;10;2;5;CONTRATO;Productivos_directos;hombres;5;HUMANO;
2006;16086;10;2;7;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;6;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;2;9;CONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;1;10;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16086;10;1;11;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;5;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;3;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;2;7;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;2;6;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;27944;10;1;9;CONTRATO;Productivos_indirectos;hombres;5;HUMANO;
2006;27944;10;1;2;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;27944;10;1;8;CONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;5;CONTRATO;Directivos;hombres;5;HUMANO;
2006;27944;10;2;6;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;27944;10;2;2;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;7;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;27944;10;2;4;CONTRATO;Productivos_indirectos;hombres;5;HUMANO;
2006;27944;10;2;9;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;27944;10;1;12;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;27944;10;1;5;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;2;3;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;27944;10;2;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;3;CONTRATO;Productivos_directos;hombres;220;HUMANO;
2006;27944;10;2;3;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;27944;10;2;3;CONTRATO;Directivos;hombres;5;HUMANO;
2006;27944;10;2;10;CONTRATO;Productivos_directos;hombres;220;HUMANO;
2006;27944;10;1;12;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;21714;1;1;12;SUBCONTRATO;Productivos_indirectos;hombres;3;HUMANO;
2006;21714;1;1;12;CONTRATO;Directivos;hombres;2;HUMANO;
2006;21714;1;2;11;CONTRATO;Productivos_indirectos;hombres;2;HUMANO;
2006;21714;1;1;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;21714;1;1;5;CONTRATO;Productivos_directos;hombres;9;HUMANO;
2006;21714;1;2;6;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;21714;1;2;8;SUBCONTRATO;Productivos_indirectos;hombres;2;HUMANO;
2006;21714;1;2;2;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;21714;1;2;4;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;21714;1;2;3;CONTRATO;Flota;hombres;0;HUMANO;
2006;21714;1;2;3;CONTRATO;Administrativos;hombres;1;HUMANO;
2006;21714;1;2;3;CONTRATO;Productivos_directos;hombres;9;HUMANO;
2006;21714;1;2;3;CONTRATO;Directivos;hombres;2;HUMANO;
2006;21714;1;1;3;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;21714;1;1;3;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;21714;1;1;3;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;21714;1;1;3;CONTRATO;Administrativos;hombres;1;HUMANO;
2006;21714;1;1;12;CONTRATO;Productivos_indirectos;hombres;2;HUMANO;
2006;23092;10;1;12;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;23092;10;1;12;CONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;23092;10;1;11;CONTRATO;Directivos;hombres;0;HUMANO;
2006;23092;10;2;7;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;23092;10;2;4;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;23092;10;1;6;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;23092;10;1;5;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;23092;10;2;4;CONTRATO;Flota;hombres;0;HUMANO;
2006;23092;10;1;5;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;23092;10;2;2;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;23092;10;1;7;CONTRATO;Flota;hombres;0;HUMANO;
2006;23092;10;2;6;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;23092;10;2;9;CONTRATO;Productivos_indirectos;hombres;1;HUMANO;
2006;23092;10;2;8;CONTRATO;Productivos_directos;hombres;2;HUMANO;
2006;23092;10;2;1;CONTRATO;Directivos;hombres;1;HUMANO;
2006;23092;10;1;1;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;23092;10;1;1;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;23092;10;2;1;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;22606;10;2;1;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;
2006;22606;10;1;1;CONTRATO;Directivos;hombres;2;HUMANO;
2006;22606;10;1;2;CONTRATO;Flota;hombres;0;HUMANO;
2006;22606;10;1;5;CONTRATO;Productivos_directos;hombres;17;HUMANO;
2006;22606;10;1;1;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;
2006;22606;10;1;1;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;22606;10;2;1;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22606;10;2;4;CONTRATO;Directivos;hombres;2;HUMANO;
2006;22606;10;1;4;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22606;10;2;4;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;22606;10;2;4;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;22606;10;2;4;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22606;10;2;4;CONTRATO;Flota;hombres;0;HUMANO;
2006;22606;10;2;4;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;22606;10;2;4;CONTRATO;Productivos_directos;hombres;27;HUMANO;
2006;22606;10;1;4;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;22606;10;1;4;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22606;10;1;4;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90107;10;1;4;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90107;10;2;3;CONTRATO;Directivos;hombres;1;HUMANO;
2006;90107;10;2;2;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;90107;10;2;8;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90107;10;2;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;90107;10;2;3;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;90107;10;2;3;CONTRATO;Productivos_indirectos;hombres;2;HUMANO;
2006;90107;10;2;3;CONTRATO;Productivos_directos;hombres;75;HUMANO;
2006;90107;10;2;1;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90107;10;2;2;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;90107;10;1;5;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90107;10;1;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;90107;10;1;5;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;90107;10;1;5;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90107;10;1;5;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;90107;10;1;4;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;90107;10;1;4;CONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90107;10;1;4;CONTRATO;Directivos;hombres;0;HUMANO;
2006;90108;10;1;1;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;90108;10;1;1;CONTRATO;Directivos;hombres;0;HUMANO;
2006;90108;10;1;1;CONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90108;10;2;1;CONTRATO;Directivos;hombres;1;HUMANO;
2006;90108;10;1;8;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;90108;10;1;8;CONTRATO;Flota;hombres;0;HUMANO;
2006;90108;10;1;8;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90108;10;1;6;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;90108;10;1;7;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90108;10;2;5;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;90108;10;2;7;CONTRATO;Productivos_indirectos;hombres;30;HUMANO;
2006;90108;10;2;5;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;90108;10;2;6;CONTRATO;Flota;hombres;0;HUMANO;
2006;90108;10;2;3;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;90108;10;2;5;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90108;10;2;3;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;90108;10;1;2;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;90108;10;2;5;CONTRATO;Productivos_directos;hombres;77;HUMANO;
2006;14213;10;1;6;SUBCONTRATO;Productivos_indirectos;hombres;12;HUMANO;
2006;14213;10;1;9;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;14213;10;1;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;14213;10;1;3;CONTRATO;Administrativos;hombres;6;HUMANO;
2006;14213;10;1;12;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;14213;10;1;12;CONTRATO;Productivos_directos;hombres;13;HUMANO;
2006;14213;10;2;12;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;14213;10;1;12;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;
2006;14213;10;1;1;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;14213;10;2;1;CONTRATO;Directivos;hombres;1;HUMANO;
2006;14213;10;1;1;CONTRATO;Directivos;hombres;1;HUMANO;
2006;14213;10;2;6;CONTRATO;Productivos_indirectos;hombres;4;HUMANO;
2006;14213;10;2;5;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;14213;10;2;8;SUBCONTRATO;Productivos_indirectos;hombres;12;HUMANO;
2006;14213;10;2;9;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;14213;10;2;5;CONTRATO;Administrativos;hombres;6;HUMANO;
2006;14213;10;2;3;CONTRATO;Flota;hombres;0;HUMANO;
2006;14213;10;2;9;CONTRATO;Productivos_directos;hombres;13;HUMANO;
2006;22555;10;1;10;SUBCONTRATO;Productivos_indirectos;hombres;21;ANIMAL;
2006;22555;10;2;10;CONTRATO;Productivos_indirectos;hombres;20;ANIMAL;
2006;22555;10;1;10;CONTRATO;Directivos;hombres;6;ANIMAL;
2006;22555;10;2;10;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;22555;10;2;3;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;22555;10;2;4;SUBCONTRATO;Productivos_indirectos;hombres;21;ANIMAL;
2006;22555;10;2;7;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;22555;10;1;4;CONTRATO;Flota;hombres;6;ANIMAL;
2006;22555;10;2;2;CONTRATO;Administrativos;hombres;19;ANIMAL;
2006;22555;10;1;5;CONTRATO;Productivos_directos;hombres;73;ANIMAL;
2006;22555;10;2;8;CONTRATO;Productivos_directos;hombres;68;ANIMAL;
2006;22555;10;2;4;CONTRATO;Directivos;hombres;6;ANIMAL;
2006;22555;10;1;8;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;22555;10;1;8;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;22555;10;1;8;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;22555;10;1;8;CONTRATO;Administrativos;hombres;19;ANIMAL;
2006;22555;10;1;8;CONTRATO;Productivos_indirectos;hombres;20;ANIMAL;
2006;22555;10;2;12;CONTRATO;Flota;hombres;6;ANIMAL;
2006;16827;10;2;1;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;16827;10;2;2;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16827;10;2;2;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16827;10;2;2;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;16827;10;2;2;CONTRATO;Flota;hombres;0;HUMANO;
2006;16827;10;2;2;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16827;10;2;12;CONTRATO;Productivos_indirectos;hombres;11;HUMANO;
2006;16827;10;2;12;CONTRATO;Productivos_directos;hombres;46;HUMANO;
2006;16827;10;2;12;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16827;10;1;12;CONTRATO;Productivos_directos;hombres;55;HUMANO;
2006;16827;10;1;4;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16827;10;1;4;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16827;10;1;4;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;16827;10;1;4;CONTRATO;Flota;hombres;0;HUMANO;
2006;16827;10;1;4;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16827;10;1;4;CONTRATO;Productivos_indirectos;hombres;11;HUMANO;
2006;16827;10;1;5;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16827;10;1;7;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;90158;1;2;4;CONTRATO;Directivos;hombres;5;ANIMAL;
2006;90158;1;1;7;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;90158;1;1;3;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90158;1;1;5;SUBCONTRATO;Productivos_indirectos;hombres;0;ANIMAL;
2006;90158;1;2;2;CONTRATO;Productivos_directos;hombres;33;ANIMAL;
2006;90158;1;1;4;CONTRATO;Flota;hombres;547;ANIMAL;
2006;90158;1;2;6;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90158;1;1;7;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;90158;1;2;8;CONTRATO;Productivos_indirectos;hombres;26;ANIMAL;
2006;90158;1;2;4;CONTRATO;Administrativos;hombres;32;ANIMAL;
2006;90158;1;2;6;CONTRATO;Flota;hombres;575;ANIMAL;
2006;90158;1;2;4;SUBCONTRATO;Productivos_indirectos;hombres;0;ANIMAL;
2006;90158;1;2;7;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;90158;1;1;5;CONTRATO;Productivos_indirectos;hombres;27;ANIMAL;
2006;90158;1;1;5;CONTRATO;Productivos_directos;hombres;34;ANIMAL;
2006;90158;1;2;5;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;90158;1;1;4;CONTRATO;Administrativos;hombres;35;ANIMAL;
2006;90158;1;1;3;CONTRATO;Directivos;hombres;5;ANIMAL;
2006;90145;10;2;4;CONTRATO;Productivos_indirectos;hombres;1;DERIVADOS DE ALGAS;
2006;90145;10;1;4;SUBCONTRATO;Productivos_directos;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;1;4;CONTRATO;Flota;hombres;1;DERIVADOS DE ALGAS;
2006;90145;10;1;4;CONTRATO;Administrativos;hombres;2;DERIVADOS DE ALGAS;
2006;90145;10;1;4;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;1;1;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;1;1;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;2;1;CONTRATO;Directivos;hombres;2;DERIVADOS DE ALGAS;
2006;90145;10;2;1;CONTRATO;Administrativos;hombres;2;DERIVADOS DE ALGAS;
2006;90145;10;2;1;CONTRATO;Productivos_directos;hombres;43;DERIVADOS DE ALGAS;
2006;90145;10;1;1;CONTRATO;Directivos;hombres;2;DERIVADOS DE ALGAS;
2006;90145;10;1;4;CONTRATO;Productivos_directos;hombres;43;DERIVADOS DE ALGAS;
2006;90145;10;1;2;CONTRATO;Productivos_indirectos;hombres;1;DERIVADOS DE ALGAS;
2006;90145;10;2;4;CONTRATO;Flota;hombres;1;DERIVADOS DE ALGAS;
2006;90145;10;2;6;SUBCONTRATO;Productivos_directos;hombres;6;DERIVADOS DE ALGAS;
2006;90145;10;2;8;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;2;9;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;90145;10;2;12;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22861;10;1;12;CONTRATO;Directivos;hombres;1;HUMANO;
2006;22861;10;1;12;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22861;10;1;12;CONTRATO;Flota;hombres;0;HUMANO;
2006;22861;10;1;10;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22861;10;1;3;CONTRATO;Administrativos;hombres;19;HUMANO;
2006;22861;10;1;7;CONTRATO;Productivos_directos;hombres;273;HUMANO;
2006;22861;10;1;8;CONTRATO;Productivos_indirectos;hombres;55;HUMANO;
2006;22861;10;1;9;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;22861;10;1;7;SUBCONTRATO;Productivos_indirectos;hombres;59;HUMANO;
2006;22861;10;2;5;CONTRATO;Productivos_directos;hombres;260;HUMANO;
2006;22861;10;2;4;CONTRATO;Productivos_indirectos;hombres;66;HUMANO;
2006;22861;10;2;3;CONTRATO;Administrativos;hombres;23;HUMANO;
2006;22861;10;2;7;CONTRATO;Flota;hombres;0;HUMANO;
2006;22861;10;2;8;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22861;10;2;8;SUBCONTRATO;Productivos_indirectos;hombres;61;HUMANO;
2006;22861;10;2;8;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;22861;10;2;8;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22861;10;2;8;CONTRATO;Directivos;hombres;1;HUMANO;
2006;90157;1;1;8;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;90157;1;2;4;CONTRATO;Flota;hombres;0;ANIMAL;
2006;90157;1;2;6;CONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90157;1;2;4;CONTRATO;Productivos_indirectos;hombres;26;ANIMAL;
2006;90157;1;2;7;CONTRATO;Productivos_directos;hombres;33;ANIMAL;
2006;90157;1;2;4;CONTRATO;Directivos;hombres;0;ANIMAL;
2006;90157;1;1;5;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;90157;1;2;5;SUBCONTRATO;Productivos_directos;hombres;0;ANIMAL;
2006;90157;1;1;5;SUBCONTRATO;Productivos_indirectos;hombres;0;ANIMAL;
2006;90157;1;1;7;CONTRATO;Productivos_directos;hombres;35;ANIMAL;
2006;90157;1;1;7;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90157;1;2;8;SUBCONTRATO;Productivos_indirectos;hombres;0;ANIMAL;
2006;90157;1;2;8;SUBCONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90157;1;1;8;CONTRATO;Administrativos;hombres;0;ANIMAL;
2006;90157;1;2;8;SUBCONTRATO;Flota;hombres;0;ANIMAL;
2006;90157;1;1;7;CONTRATO;Productivos_indirectos;hombres;27;ANIMAL;
2006;90157;1;1;2;CONTRATO;Directivos;hombres;0;ANIMAL;
2006;90157;1;1;2;CONTRATO;Flota;hombres;0;ANIMAL;
2006;22610;10;1;1;CONTRATO;Productivos_directos;hombres;5;HUMANO;
2006;22610;10;1;1;CONTRATO;Productivos_indirectos;hombres;1;HUMANO;
2006;22610;10;1;1;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22610;10;1;3;CONTRATO;Directivos;hombres;1;HUMANO;
2006;22610;10;2;5;CONTRATO;Flota;hombres;0;HUMANO;
2006;22610;10;1;6;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22610;10;1;7;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;22610;10;2;6;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;22610;10;2;7;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;22610;10;2;6;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;22610;10;2;8;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;22610;10;2;9;CONTRATO;Productivos_indirectos;hombres;1;HUMANO;
2006;22610;10;2;7;CONTRATO;Productivos_directos;hombres;5;HUMANO;
