Rol;dvRol;Rut;Dv;Nombre;Calle;Numero;Aclara;Pat_cTIPOPATTE;InicioActividad;CasaMatriz;Giro;Provisoria;IngProvisoria;Vencimiento;EstadoLic;CODIGO SII;ACTIVIDAD SII;Monto_Patente;EstadoPago
870322;1;76402832;5;SOCIEDAD COPMERCIAL NORBELK LOOKS LIMITADA;ALAMEDA L. BERNARDO OHIGGINS;3027;LOCAL;COMERCIAL;29-07-2014;CASA MATRIZ ;COMPRA Y VENTA DE PRENDAS DE VESTIR;DEFINITIVA;08-10-2015;07-10-2016;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;73108;GIRADO
868052;3;76402944;5;LLANTAS LORCA REPARACIONES SPA;RAULI;698;LOCAL;INDUSTRIAL;13-02-2015;SUCURSAL EN LA COMUNA ;TALLER DE MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PROVISORIA;17-07-2015;17-02-2016;VIGENTE;502080;MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES;69046;PAGADO
866979;1;76402974;7;ELABORADORA  DE ALIMENTOS LAS LILAS SPA;VENTURA LAVALLE;343;LOCAL;COMERCIAL;19-03-2015;CASA MATRIZ ;ELABORADORA DE PLATOS PREPARADOS Y EMPAREDADOS FRIOS Y CALIENTES;PROVISORIA;02-06-2015;02-06-2016;VIGENTE;552040;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;33493;GIRADO
864528;0;76402981;K;OBRAS DE CONSTRUCCION CARLOS FUENTEALBA ARCE EIRL;HUERFANOS;1055;OFICINA;COMERCIAL;29-01-2015;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE CONTRATISTA EN CONSTRUCCION Y OBRAS DE INGENIERIA;DEFINITIVA;09-02-2015;09-02-2016;VIGENTE;452020;OBRAS DE INGENIERÍA;60309;GIRADO
865818;8;76403023;0;BORDCHAR ABOGADOS Y CONSULTORES SPA;HUERFANOS;1117;OFICINA;COMERCIAL;29-01-2015;CASA MATRIZ ;SERVICIOS JURIDICOS;DEFINITIVA;09-04-2015;08-04-2016;VIGENTE;741110;SERVICIOS JURÍDICOS;22293;PAGADO
865111;6;76403034;6;SOCIEDAD IMPORTADORA Y COMERCIALIZADORA LOOP LTDA;MONJITAS;527;OFICINA;COMERCIAL;29-01-2015;CASA MATRIZ ;COMERCIALIZACIÓN E IMPORTACIÓN DE ARTÍCULOS E INSUMOS OPTICOS;DEFINITIVA;05-03-2015;04-03-2016;VIGENTE;851990;OTRAS ACTIVIDADES EMPRESARIALES RELACIONADAS CON LA SALUD HUMANA;69046;GIRADO
864823;9;76403167;9;COMERCIALIZADORA MACAVI LIMITADA;HUERFANOS;1055;OFICINA;COMERCIAL;17-02-2015;CASA MATRIZ ;COMERCIALIZADORA DE PRENDAS DE VESTIR Y ARTÍCULOS DE SEGURIDAD INDUSTRIAL;DEFINITIVA;19-02-2015;19-02-2016;VIGENTE;513100;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;40206;GIRADO
864584;1;76403191;1;MOTO INNOVA SPA;HUERFANOS;1160;OFICINA;COMERCIAL;03-02-2015;CASA MATRIZ ;OFICINA ADMINISTRATIVA;DEFINITIVA;11-02-2015;11-02-2016;VIGENTE;503000;VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES;22293;GIRADO
864766;6;76403207;1;H Y H EXTINTORES Y SEGURIDAD INDUSTRIAL EIRL;HUERFANOS;1055;OFICINA;COMERCIAL;04-02-2015;CASA MATRIZ ;DOMICILIO POSTAL TRIBUTARIO DE COMERCIALIZADORA DE EXTINTORES Y ARTICULOS DE SEGURIDAD;DEFINITIVA;17-02-2015;17-02-2016;VIGENTE;525990;OTROS TIPOS DE VENTA AL POR MENOR NO REALIZADA EN ALMACENES N.C.P.;22293;PAGADO
866879;5;76403237;3;ELAB. DE ALIMEN. CECILIA CESPEDES CORDOVA E.I.R.;SANTA ROSA;298;LOCAL;COMERCIAL;09-08-2014;CASA MATRIZ ;FUENTE DE SODA;DEFINITIVA;28-05-2015;27-05-2016;VIGENTE;552020;ESTABLECIMIENTOS DE COMIDA RÁPIDA (BARES, FUENTES DE SODA, GELATERÍAS, PIZZERÍAS Y SIMILARES);69046;PAGADO
