Empresa;Comuna;Regi«n;Tipo Documento;Nro. Documento;Fecha Documento;id empresa;numero transaccion
CLARO CHILE S.A.;Iquique;1;DECRETO NOTIFICADO;144;14/04/1997;1;1
CLARO CHILE S.A.;Maip?;13;DECRETO NOTIFICADO;144;14/04/1997;1;2
CLARO CHILE S.A.;Calbuco;10;DECRETO NOTIFICADO;144;14/04/1997;1;3
CLARO CHILE S.A.;Pudahuel;13;DECRETO NOTIFICADO;144;14/04/1997;1;4
CLARO CHILE S.A.;Talca;7;DECRETO NOTIFICADO;144;14/04/1997;1;5
CLARO CHILE S.A.;Mulch?n;8;DECRETO NOTIFICADO;144;14/04/1997;1;20
CLARO CHILE S.A.;Combarbal˜;4;DECRETO NOTIFICADO;144;14/04/1997;1;21
CLARO CHILE S.A.;Llaillay;5;DECRETO NOTIFICADO;144;14/04/1997;1;22
CLARO CHILE S.A.;Santiago;13;DECRETO NOTIFICADO;144;14/04/1997;1;85
CLARO CHILE S.A.;Providencia;13;DECRETO NOTIFICADO;144;14/04/1997;1;86
CLARO CHILE S.A.;Maullðn;10;DECRETO NOTIFICADO;144;14/04/1997;1;87
CLARO CHILE S.A.;Santiago;13;DECRETO NOTIFICADO;144;14/04/1997;1;88
CLARO CHILE S.A.;Rðo Claro;7;DECRETO NOTIFICADO;144;14/04/1997;1;89
CLARO CHILE S.A.;San Carlos;8;DECRETO NOTIFICADO;144;14/04/1997;1;90
CLARO CHILE S.A.;Perquenco;9;DECRETO NOTIFICADO;144;14/04/1997;1;91
CLARO CHILE S.A.;San Jos? de la Mariquina;14;DECRETO NOTIFICADO;144;14/04/1997;1;92
CLARO CHILE S.A.;Ancud;10;DECRETO NOTIFICADO;144;14/04/1997;1;93
CLARO CHILE S.A.;La Serena;4;DECRETO NOTIFICADO;144;14/04/1997;1;94
CLARO CHILE S.A.;Ovalle;4;DECRETO NOTIFICADO;144;14/04/1997;1;95
CLARO CHILE S.A.;Isla de Maipo;13;DECRETO NOTIFICADO;144;14/04/1997;1;96
CLARO CHILE S.A.;Isla de Maipo;13;DECRETO NOTIFICADO;144;14/04/1997;1;97
CLARO CHILE S.A.;Machalð;6;DECRETO NOTIFICADO;144;14/04/1997;1;98
CLARO CHILE S.A.;Chimbarongo;6;DECRETO NOTIFICADO;144;14/04/1997;1;99
CLARO CHILE S.A.;Curic«;7;DECRETO NOTIFICADO;144;14/04/1997;1;100
CLARO CHILE S.A.;San Rosendo;8;DECRETO NOTIFICADO;144;14/04/1997;1;101
CLARO CHILE S.A.;San Felipe;5;DECRETO NOTIFICADO;144;14/04/1997;1;102
CLARO CHILE S.A.;Colb?n;7;DECRETO NOTIFICADO;144;14/04/1997;1;123
CLARO CHILE S.A.;Copiap«;3;DECRETO NOTIFICADO;144;14/04/1997;1;124
CLARO CHILE S.A.;Cunco;9;DECRETO NOTIFICADO;144;14/04/1997;1;125
CLARO CHILE S.A.;Iquique;1;DECRETO NOTIFICADO;144;14/04/1997;1;126
CLARO CHILE S.A.;Antofagasta;2;DECRETO NOTIFICADO;144;14/04/1997;1;127
CLARO CHILE S.A.;Tierra Amarilla;3;DECRETO NOTIFICADO;144;14/04/1997;1;128
CLARO CHILE S.A.;Curacautðn;9;DECRETO NOTIFICADO;144;14/04/1997;1;129
ENTEL PCS TELECOMUNICACIONES S.A.;Lanco;14;DECRETO NOTIFICADO;145;14/04/1997;2;130
ENTEL PCS TELECOMUNICACIONES S.A.;ViØa del Mar;5;DECRETO NOTIFICADO;145;14/04/1997;2;164
ENTEL PCS TELECOMUNICACIONES S.A.;Quilleco;8;DECRETO NOTIFICADO;145;14/04/1997;2;165
ENTEL PCS TELECOMUNICACIONES S.A.;Fresia;10;DECRETO NOTIFICADO;145;14/04/1997;2;166
ENTEL PCS TELECOMUNICACIONES S.A.;Buin;13;DECRETO NOTIFICADO;145;14/04/1997;2;173
ENTEL PCS TELECOMUNICACIONES S.A.;Maip?;13;DECRETO NOTIFICADO;145;14/04/1997;2;174
ENTEL PCS TELECOMUNICACIONES S.A.;PeØaflor;13;DECRETO NOTIFICADO;145;14/04/1997;2;175
ENTEL PCS TELECOMUNICACIONES S.A.;Las Condes;13;DECRETO NOTIFICADO;145;14/04/1997;2;176
ENTEL PCS TELECOMUNICACIONES S.A.;Temuco;9;DECRETO NOTIFICADO;145;14/04/1997;2;177
ENTEL PCS TELECOMUNICACIONES S.A.;Limache;5;DECRETO NOTIFICADO;145;14/04/1997;2;178
ENTEL PCS TELECOMUNICACIONES S.A.;Los ‘lamos;8;DECRETO NOTIFICADO;145;14/04/1997;2;179
ENTEL PCS TELECOMUNICACIONES S.A.;Lota;8;DECRETO NOTIFICADO;145;14/04/1997;2;180
ENTEL PCS TELECOMUNICACIONES S.A.;Requðnoa;6;DECRETO NOTIFICADO;145;14/04/1997;2;181
