4;59;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;110421;36.6;9;1;=10;8;SIN DEUDA;10;NO
6;46;EDUC. UNIVERSITARIA;DEPENDIENTE;994950;301500;0;0.0;0;0;=6;0;DEUDA DE 2 MESES;8;SI
8;51;EDUC. UNIVERSITARIA;DEPENDIENTE;1085400;301500;0;0.0;8;5;=10;7;DEUDA DE 2 MESES;13;SI
10;40;EDUC. UNIVERSITARIA;DEPENDIENTE;524610;301500;0;0.0;10;3;=1;1;SIN DEUDA;5;NO
12;33;EDUC. UNIVERSITARIA;DEPENDIENTE;2512194;689711;689711;100.0;1;1;=1;0;SIN DEUDA;19;SI
13;53;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;3196358;3196358;100.0;1;7;=7;8;SIN DEUDA;23;NO
14;66;EDUC. UNIVERSITARIA;DEPENDIENTE;1356750;301500;0;0.0;2;10;=7;9;SIN DEUDA;20;SI
21;50;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;0;0.0;9;6;=10;5;SIN DEUDA;15;SI
22;42;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;5231031;5231031;100.0;9;2;=5;4;SIN DEUDA;0;SI
24;55;EDUC. UNIVERSITARIA;DEPENDIENTE;1175850;301500;76117;25.2;2;9;=3;8;SIN DEUDA;2;SI
25;55;EDUC. UNIVERSITARIA;DEPENDIENTE;2713500;489859;489859;100.0;9;2;=7;6;SIN DEUDA;18;SI
26;47;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;7;8;=2;9;SIN DEUDA;25;SI
31;42;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;6;3;=9;4;SIN DEUDA;15;NO
32;40;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;6;5;=7;7;SIN DEUDA;24;SI
33;38;EDUC. UNIVERSITARIA;DEPENDIENTE;712927;301500;0;0.0;9;4;=6;7;DEUDA DE 1 MES;23;NO
34;35;EDUC. UNIVERSITARIA;DEPENDIENTE;2903445;301500;663;0.2;0;0;=1;10;SIN DEUDA;16;SI
35;49;EDUC. UNIVERSITARIA;DEPENDIENTE;1311525;366660;366660;100.0;7;5;=7;4;SIN DEUDA;21;SI
37;36;EDUC. UNIVERSITARIA;DEPENDIENTE;3608087;301500;0;0.0;2;5;=2;2;DEUDA DE 1 MES;11;SI
38;63;EDUC. UNIVERSITARIA;DEPENDIENTE;913545;301500;0;0.0;4;0;=2;10;SIN DEUDA;10;NO
42;45;EDUC. UNIVERSITARIA;DEPENDIENTE;1360133;2752580;2752580;100.0;2;0;=2;8;SIN DEUDA;20;NO
43;40;EDUC. UNIVERSITARIA;DEPENDIENTE;2179845;301500;0;0.0;1;5;=3;1;SIN DEUDA;22;NO
44;45;EDUC. UNIVERSITARIA;DEPENDIENTE;416070;301500;257318;85.3;8;0;=1;10;SIN DEUDA;11;NO
50;49;EDUC. UNIVERSITARIA;DEPENDIENTE;994950;301500;40546;13.4;4;1;=6;1;SIN DEUDA;1;SI
51;39;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;138805;46.0;9;8;=5;2;DEUDA DE 2 MESES;6;NO
52;37;EDUC. UNIVERSITARIA;DEPENDIENTE;1357754;408062;408062;100.0;1;9;=5;3;SIN DEUDA;5;SI
57;44;EDUC. UNIVERSITARIA;DEPENDIENTE;2715508;301500;0;0.0;4;4;=10;6;DEUDA DE 2 MESES;22;NO
