id;EDAD;NIVEL EDUCACIONAL;ACTIVIDAD;RENTA FIJA;LIMITE MAXIMO CREDITO;DEUDA ACTUAL;PORCENTAJE DE USO DEL CREDITO;NUMERO DE COMPRAS EN MES ACTUAL (T);NUMERO DE COMPRAS EN MES T-1;NUMERO DE COMPRAS EN MES T-2;NUMERO DE COMPRAS EN MES T-3;ESTADO ACTUAL;CANTIDAD HISTORICA DE ATRASOS EN PAGO DE CUENTAS;COMPRA
1;53;EDUC. TECNICA;DEPENDIENTE;4071254;301500;0;0.0;8;3;6;1;SIN DEUDA;0;NO
2;56;EDUC. UNIVERSITARIA;ESTUDIANTE;1049220;301500;40371;13.4;9;2;0;7;SIN DEUDA;12;SI
3;45;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;2785860;301500;84022;27.9;2;3;8;7;SIN DEUDA;24;SI
4;59;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;110421;36.6;9;1;10;8;SIN DEUDA;10;NO
5;28;EDUC. UNIVERSITARIA;DEPENDIENTE;1175850;3080673;3080673;100.0;5;6;4;8;SIN DEUDA;14;NO
6;46;EDUC. UNIVERSITARIA;DEPENDIENTE;994950;301500;0;0.0;0;0;6;0;DEUDA DE 2 MESES;8;SI
7;46;EDUC. TECNICA;DEPENDIENTE;5558759;767613;767613;100.0;9;9;8;5;SIN DEUDA;8;SI
8;51;EDUC. UNIVERSITARIA;DEPENDIENTE;1085400;301500;0;0.0;8;5;10;7;DEUDA DE 2 MESES;13;SI
9;38;EDUC. MEDIA;DEPENDIENTE;1682370;301500;301500;100.0;5;4;0;9;SIN DEUDA;25;NO
10;40;EDUC. UNIVERSITARIA;DEPENDIENTE;524610;301500;0;0.0;10;3;1;1;SIN DEUDA;5;NO
11;41;EDUC. TECNICA;EMPRESARIO;1809000;301500;0;0.0;1;9;10;3;SIN DEUDA;11;NO
12;33;EDUC. UNIVERSITARIA;DEPENDIENTE;2512194;689711;689711;100.0;1;1;1;0;SIN DEUDA;19;SI
13;53;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;3196358;3196358;100.0;1;7;7;8;SIN DEUDA;23;NO
14;66;EDUC. UNIVERSITARIA;DEPENDIENTE;1356750;301500;0;0.0;2;10;7;9;SIN DEUDA;20;SI
15;22;EDUC. TECNICA;DEPENDIENTE;904500;923639;923639;100.0;2;8;8;3;SIN DEUDA;12;SI
16;30;EDUC. TECNICA;DEPENDIENTE;1959753;301500;191103;63.4;2;8;3;1;DEUDA DE 1 MES;6;SI
17;29;EDUC. UNIVERSITARIA;EMPRESARIO;2713500;715236;715236;100.0;5;0;5;7;SIN DEUDA;12;NO
18;56;EDUC. TECNICA;DEPENDIENTE;859275;617177;617177;100.0;0;4;0;3;SIN DEUDA;14;NO
19;34;EDUC. TECNICA;DEPENDIENTE;7778700;301500;0;0.0;1;1;7;2;SIN DEUDA;17;NO
20;43;EDUC. TECNICA;DEPENDIENTE;1809000;301500;0;0.0;10;10;0;2;SIN DEUDA;24;NO
21;50;EDUC. UNIVERSITARIA;DEPENDIENTE;1049220;301500;0;0.0;9;6;10;5;SIN DEUDA;15;SI
22;42;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;5231031;5231031;100.0;9;2;5;4;SIN DEUDA;0;SI
23;40;EDUC. TECNICA;DEPENDIENTE;2074362;436301;436301;100.0;3;7;1;9;SIN DEUDA;10;SI
24;55;EDUC. UNIVERSITARIA;DEPENDIENTE;1175850;301500;76117;25.2;2;9;3;8;SIN DEUDA;2;SI
25;55;EDUC. UNIVERSITARIA;DEPENDIENTE;2713500;489859;489859;100.0;9;2;7;6;SIN DEUDA;18;SI
26;47;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;0;0.0;7;8;2;9;SIN DEUDA;25;SI
27;54;EDUC. UNIVERSITARIA;EMPRESARIO;859275;301500;151;0.1;8;5;2;3;SIN DEUDA;9;NO
28;25;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;904500;301500;0;0.0;1;10;8;8;SIN DEUDA;11;SI
29;66;EDUC. TECNICA;DEPENDIENTE;1356750;301500;207191;68.7;4;10;0;3;SIN DEUDA;13;NO
30;30;EDUC. UNIVERSITARIA;DEPENDIENTE;904500;301500;83274;27.6;7;2;1;5;SIN DEUDA;13;NO
31;42;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;6;3;9;4;SIN DEUDA;15;NO
32;40;EDUC. UNIVERSITARIA;DEPENDIENTE;906508;301500;0;0.0;6;5;7;7;SIN DEUDA;24;SI
33;38;EDUC. UNIVERSITARIA;DEPENDIENTE;712927;301500;0;0.0;9;4;6;7;DEUDA DE 1 MES;23;NO
34;35;EDUC. UNIVERSITARIA;DEPENDIENTE;2903445;301500;663;0.2;0;0;1;10;SIN DEUDA;16;SI
35;49;EDUC. UNIVERSITARIA;DEPENDIENTE;1311525;366660;366660;100.0;7;5;7;4;SIN DEUDA;21;SI
36;40;EDUC. TECNICA;DEPENDIENTE;2539293;301500;0;0.0;0;10;7;4;SIN DEUDA;17;SI
37;36;EDUC. UNIVERSITARIA;DEPENDIENTE;3608087;301500;0;0.0;2;5;2;2;DEUDA DE 1 MES;11;SI
38;63;EDUC. UNIVERSITARIA;DEPENDIENTE;913545;301500;0;0.0;4;0;2;10;SIN DEUDA;10;NO
39;46;EDUC. UNIVERSITARIA;ESTUDIANTE;1040175;301500;215995;71.6;3;5;9;9;SIN DEUDA;0;SI
40;31;ESTUDIANTE UNIVERSITARIO;DEPENDIENTE;906508;301500;0;0.0;6;0;4;10;SIN DEUDA;3;NO
